ProjectID	MeanFunding	Title	ProjectSummary
1015108	10000.0	PPF Perinatal Photosynthesis Community Outreach	DESCRIPTION: Pettaway Pursuit Foundation's continuing goal is to empower all expecting Medicaid mothers we service with education and support throughout their prenatal and postpartum period in a concerted effort to achieve and maximize healthy newborn outcomes through healthier and prolonged pregnancies. Our Doulas provide one on one non-judgmental in home practical support, such as childbirth education, parenting skills, meal preparation, household organization, breastfeeding support and emotional support to ensure improved maternal and birth outcomes. By ensuring our Doulas provide additional comprehensive educational assistance through our PPF Perinatal Photosynthesis Module (a three phase evidenced based training curriculum in which Doulas educate and enlighten about the importance of understanding a woman's birthing experience while emphasizing the positive impact of attaining emotional intelligence outcomes to improve the family environment) to the expectant mother's partner and family, we hope to increase the probability of ensuring a healthier start for the newborn until he or she is five years old. Our Doulas are certified by the approving respective agencies. Therefore, according to the American College of Obstetricians and Gynecologists (ACOG) and the Society for Maternal-Fetal Medicine (SMFM) published data indicates that one of the most effective tools to improve labor and delivery outcomes is the continuous presence of support personnel, such as a Doula. This community engagement grant will further enhance our goals by taking the methodology that we execute during our Doula home visits and expand our outreach to specifically engage our mother's partner during the perinatal and post-partum periods as well as fathers and other community members in Worcester and Boston.
1015110	4987.0	A Regional Professional Development Program for Scholarly Communication	DESCRIPTION: Worcester Polytechnic seeks an NNLM NER Member Program Award to subsidize hosting of the 2017 ACRL Scholarly Communication Roadshow. This program would be made available to librarians throughout the New England region, including academic, health sciences, public, and hospital librarians. This helps meet the NNLM NER's mission to support the continuing education and training of health sciences and public librarians.
1015128	10000.0	Pilot Project to Identify Information Needs for Assessment and Development of Opioid Epidemic Treatment and Prevention in Strafford County, New Hampshire	DESCRIPTION: The Health and Human Services Librarian at the University of New Hampshire will conduct a questionnaire to identify cost-effective information resources and needed training to assist a target group of Strafford County's healthcare and mental health providers with the assessment and development of opioid addiction treatments and prevention programs.
1015129	9890.0	Couples Team Work: Promoting Access to Information and Resources for Vulnerable Populations	DESCRIPTION: Couples Team Work is a program for couples in which one partner has a chronic illness and the other is transitioning into a role of partner/caregiver. Couples work together to support each other's needs by learning about and developing systems to enable them to make informed decisions about their health. A seven-week program will educate and inform participants in how to: Navigate the medical care system Navigate legal and financial issues associated with living with a chronic illness Improve nutrition and fitness Improve emotional balance and health Maintain an outward, community focus by participating in volunteer activities Find reliable medical and other resources
1015148	24377.0	Library Partnership for Health Literacy in Tulsa	DESCRIPTION: The OU-Tulsa Schusterman Library will partner with the Tulsa City County Library in a pilot program designed to address the health education needs of Tulsa citizens. An OU-Tulsa medical librarian with specialization in consumer health education will be assigned to work for TCCL one-quarter of her time. Her work will include outreach and education programs, continuing education for TCCL librarians and staff, and developing a speakers series highlighting health needs in Tulsa.
1015149	25000.0	Finding Common Threads: Enhancing Outreach to Underserved Populations Through OK's Health Information Specialists	DESCRIPTION: Staff members at the University of Oklahoma Health Sciences Center's Robert M. Bird Health Sciences Library, in partnership with key collaborators working in public libraries, tribal libraries and literacy organizations, aim to: - Expand and continue to engage the existing network of Health Information Specialists across the state - Advance crucial conversations about the best ways to reach some of Oklahoma's most vulnerable citizens - Facilitate the discovery of authoritative, appropriate health information at the point of need  Projects include a series of seven in-person, hands-on courses focused on special populations offered at the Oklahoma Department of Libraries in Oklahoma City, OK; a series of five in-person, hands-on courses offered at the Woodward Public Library in Wookward, OK and the McAlester branch of the Southeastern Public Library System of Oklahoma; two asynchronous online courses; and a plain language workshop. In addition, four focus groups will be conducted with the ~100 Health Information Specialists in the state to assess the impact of program activities from 2013-present and guide plans for future development. Finally, two extension projects will be completed in partnership with Health Information Specialists: a series of nine in-person, hands-on classes targeting older adults will be taught at the Edmond Library in Edmond, OK and two needs assessment round tables will be held with a focus on Oklahoma's veterans.
1015166	1500.0	HICLAS (Health Information, Campus LIfe, and Academic Sucess Digital Sinage System)	DESCRIPTION: The goal of the project is to enhance the health and wellness of MidAmerica Nazarene University students. This will be accomplished by addressing the following objectives: (1) providing students with current, relevant health information, and (2) providing students with current, useful information about campus life. Thus, the two outcomes of the project will be students who: (1) are empowered to make more informed and healthy lifestyle choices, and (2) have a stronger sense of identity within the university community.  This project will enhance the capacity of our library to offer electronic health information services by supporting the purchase and installation of hardware and software that will be utilized to ensure access to high-quality health information that is relevant to students. Our specific project will be to develop, implement, and maintain a dynamic (digital) signage system in two locations in the open, public areas of the Learning Commons. The physical infrastructure is simple, being comprised of flat-screen television displays with the ability to play images and videos from a USB stick. As slide shows are revised (at least once monthly), the media file would be replaced on the USB drive attached to the television displays.  These digital displays will continuously repeat slide shows, which will contain health information of interest and relevance to college students. These slides will be interspersed with additional slides containing information about Learning Commons services and campus events.  Wellness content will be developed and contributed by the Director of Wellness@MNU, as well as by professors within the health and exercise science department. Other relevant content will be contributed by a variety of constituencies around campus. The Learning Commons faculty will review all contributed content, assemble a refreshed slide deck once monthly, and ensure the continuous operation of the HICLAS system.
1015206	0.0	Outreach Library 2017-2018: University of Iowa Hardin Library for the Health Sciences	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR. REMARKS: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015207	0.0	Outreach Library 2017-2018: The Ohio State University Health Sciences Library	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015208	0.0	Outreach Library 2017-2018: Southern Illinois University Medical School Library	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015226	15830.0	Opioid e-Resource Database Development and Outreach	DESCRIPTION: The Indiana Prevention Resource Center, part of the Department of Applied Health Science, School of Public Health, Indiana University-Bloomington, proposes to develop an e-resources database devoted solely to the topic of the current opioid epidemic, with a particular focus on Indiana, that will feature as subthemes from the homepage educational materials on how to judge the quality of health information resources and links to highlighted NLM materials.
1015246	11809.0	Medical Library Project Award 95: Ada Lovelace Day	"DESCRIPTION: Ada Lovelace is relatively unknown in the United States. However, this early 19th century woman and gifted mathematician is generally credited with being an early computer visionary and the first computer programmer. Her partnership with renowned mathematician Charles Babbage and expansion on his work on the ""Analytical Machine"" resulted in what is regarded as the first computer program. Ada Lovelace Day is celebrated annually in October (http://www.newyorker.com/tech/elements/ada-lovelace-the-first-tech-visionary.) In 2017, October 10 has been selected as the celebratory date. In this project we propose to celebrate Ada Lovelace Day at the University of Maryland, Baltimore (UMB) with an afternoon symposium focused on women in STEM careers. The afternoon symposium will consist of a keynote speaker and a panel representing women in STEM. Handouts will be developed. An activity will be developed for the students. The SEARML NLM exhibit and materials will be on display. In addition to members of the UMB and University System of Maryland communities, we will reach out to the President's CURE Scholars, a group of middle schoolers focused on careers in biomedicine; Vivien T. Thomas Medical Arts Academy; the UMB Community Engagement Center; and other projects at UMB focused on encouraging women to enter STEM careers."
1015247	1500.0	Professional Development Award 119: Mid-Atlantic Chapter of the Medical Library Association	DESCRIPTION: This funding will cover expenses accrued through travel and help cover the cost of honoraria for Susan LaValley at the MAC Annual Meeting. Susan LaValley will be instructing librarians on conducting profession-related research.
1015248	0.0	Outreach Library 2017-2018: Wayne State University, Vera P Shiffman Medical Library	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015249	0.0	Outreach Library 2017-2018: University of South Dakota	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015250	0.0	Outreach Library 2017-2018: University of Cincinnati Health Sciences Library	
1015266	788.0	Professional Dev: MCMLA 2017 Mulcahy	DESCRIPTION: This professional development awards supports one health sciences librarian to attend the Midwest Chapter MLA/MHSLA Joint Annual Conference in Ypsilanti, MI, October 13-16, 2017.
1015286	4980.0	Makerspace Technology Enhancement Project	DESCRIPTION: The purpose of the project is to expand the existing Makerspace 3D printing service provided by the Preston Smith Library. We have had great success with our entry level Makerbot Replicator 5th Generation Printer. By working one on one with the faculty, staff, and students, we have produced 3D models of aneurysms, retinal, cells, bio-macromolecules, prosthetic hands and other personal research. By generating 3D models using data from CT scans, protein data bank (.pdb) files, standard photographs, Adobe Illustrator files, and personal designs, we were able to connect the TTUHSC community with the wide range possibilities offered by 3D printing. As we, and our clients, have progressed in our understanding and knowledge of the 3D printing process, the library is looking to move to a 3D printer with exceptional build quality and precision that can produce high quality prints reliably. Specifically, a printer that employs stereolithographic (SLA) printing. SLA printing creates 3D objects from a liquid (photopolymer) resin. This type of printer produces highly accurate parts with smooth surface finishes which are ideal for the highly-detailed anatomy of the human body as well as finely articulated medical tools, devices, and implants.
1015287	8435.0	Exploring the future of medical modeling with a Stereolithography (SLA) 3D printer	DESCRIPTION: Stereolithography (SLA) technology is an important 3D technology for medicine because of its accuracy and print capabilities. Anatomy modeling and device prototyping pose some challenges to clients currently using our Lulzbot Taz 5 Fused Deposition Modeling (FDM) 3D printer. While the existing printer has been a wonderful learning and teaching tool, we wish to expand our outreach to the Health Professions Recruitment and Exposure Program (HPREP) with a more precise technology that provides for usage and exploration in our Digital Media Production Studio. This device will meet the needs of clients who have not been able to achieve precise anatomy prototyping and success with flexible filaments. Client interest in this technology is high and we feel this model would be a great asset for our Library and campus community.
1015288	4255.0	Improving Access: Technology Upgrades for Public Computer Workstations	DESCRIPTION: Morningcrest Health Library (MHL) is a consumer health information center located in the Schusterman Center Clinic. MHL provides free public access to NLM databases, supported by the services of a professional medical librarian. The goal of this project is to provide an easier means of navigating online resources by incorporating new touchscreen computers. This will allow individuals who are challenged by a lack of computer skills, or those with limited dexterity, to explore websites independently. Headphones will provide a better means for individuals to choose a format that best suits their learning preferences including videos and interactive tutorials featured in MedlinePlus and Senior Health.
1015289	25000.0	Jump On It Summit	DESCRIPTION: J.O.I. Community Outreach proposes to campaign for health literacy through coordinated effort of media, workshops, service providers and enetertainemtn. Bringing the community out each week during the summer to participate in health activities, resources, information and workshops. Our community events garner tremendous numbers of people every week, on average 1500 people for 8 weeks.
1015306	10000.0	Improving Awareness of NLM Resources at Continuing Care Retirement Communities	DESCRIPTION: Emergency planners will tell you the time to plan for an event is in advance of the event. Waiting until the last second can have dire consequences. So too is it true for most of life's challenges. In a business setting, managers plan far enough ahead to meet deadlines, avoid penalties, and assure proper utilization of resources. We can learn about future needs by looking at past history, as well as at current trends and making assumptions of future needs.  Our project involves educating the staff of various Continuing Care Retirement Communities (CCRCs), and identifying patient trends for Medicare and private insurance utilization. The goal is simply to identify the areas of concern, or opportunities for future planning, which can affect the demand for resources in CCRCs. This data-driven health care focus enables meeting that demand by utilizing the resources of the National Libraries of Medicine.  By making presentations to the CCRC staffs, the identification is expected to produce improvements in knowledge of health information available from the NLM, delivery systems, and assistive technology. We expect outcomes to include a better understanding of NLM resources, and better access to information.
1015326	7770.0	Tech Enhance: SIMobile for Augmented Reality Integrated Simulation Education	DESCRIPTION: SIMobile will enable the University of Wisconsin-Eau Claire, College of Nursing and Health Sciences (CONHS) implement the Augmented Reality Integrated Simulation Education (ARISE) Project. The goal is to strengthen simulation instruction by increasing student engagement and access to biomedical resources through technology.
1015366	20000.0	Outreach Award: Marijuana Prevention and Information Outreach	DESCRIPTION: This grant will allow Lakeville Area Public School staff to work with Community Blueprint to form a youth action team, and develop an interactive and informative marijuana campaign. From the name and logo, to the tone and messaging, and to the in-school outreach activities, we'll include youth in the entire process of building a marijuana prevention campaign for Lakeville high school students.
1015367	4600.0	Public Library: Community Conversations with Seniors	DESCRIPTION: With the continued aging of our population and the increase we see in senior centers being built in the area, Westchester Public Library plans a Community Connections with Seniors program to engage discussion regarding Alzheimer's.
1015406	20000.0	Outreach Award: Wash and Learn	DESCRIPTION: Libraries Without Borders (BSF) has developed a program that expands opportunities for the poorest individuals and families. BSF will partner with the Brainerd Public Library (BPL) to install e-libraries and build libraries at laundromats in low-income and underserved communities. BSF and BPL will curate content from the National Network of Libraries of Medicine's Consumer Health Resources (NNLM) and facilitate trainings of how to use MedlinePlus at laundromats in order to: 1) Answer critical questions being asked by community members regarding health information; and 2) Facilitate trainings to find quality health information resources available on the Internet so that participants may make better informed health care decisions for themselves and to share this information with their families.
1015426	450.0	Evidence-Based Medicine for the Medical Librarian Fall 2017	DESCRIPTION: This eight-week course is designed as an introduction for medical librarians to the practice of evidence-based medicine (EBM). EBM means combining clinical expertise, the preferences and values of the patient and the best available evidence to make good patient care decisions. This course will focus on understanding the skills clinicians need to practice EBM, such as how to formulate relevant questions, efficiently search medical literature and evaluate the evidence for validity and applicability to the patient. The course also will focus on the roles that librarians can play to support EBM.
1015428	5000.0	Health Information Outreach in Shale Gas Communities	DESCRIPTION: EHP is requesting a grant award in the amount of $5,000.00 to disseminate health information throughout counties in Southwest Pennsylvania experiencing unconventional oil and gas development (UOGD). The goal of this project is to enhance resilience in these communities in the face of widespread UOGD in recent years. In addition to enhancing resilience, the goals of this project are to decrease community-level stress and to improve mental and physical health. To achieve this goal, we will use community-tailored selections of our more than 15 existing health resources along with the following resources from NLM: MedlinePlus; Toxtown; and Environmental Health and Toxicology: Specialized Information Services. This project will also allow us to disseminate information to residents on EHP's Shale Gas & Oil Health Registry & Resource Network, currently the only nationwide registry documenting impacts from UOGD. Lastly, this project will help EHP to continue disseminating information to the health care community.
1015446	4722.0	What the Health: Free Consumer Health Resources	DESCRIPTION: Stony Brook University librarians will provide instruction for public librarians on consumer health resources, including MedlinePlus, Consumer Genetic Health Resources, TOXNET (select databases) and Tox Town. The workshops will be open to public librarians and library school students, and SBU librarians will be partnering with the Suffolk Cooperative Library System.
1015466	0.0	Outreach Library 2017-2018: Indiana University Ruth Lilly Medical Library	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015468	4641.0	Tech Enhancement: Automated ILL software and training	DESCRIPTION: The goal of this project is to implement resource sharing management software at Western Michigan University Homer Stryker M.D. School of Medicine (WMed). Currently WMed is functioning without automated interlibrary loan software and requests are instead managed manually by four full-time faculty librarians.
1015486	16039.0	Outreach Award: The Iowa Family Leadership Training Institute (IFLTI)	DESCRIPTION: The Iowa Family Leadership Training Institute (IFLTI) is a four-session, in-person training designed to develop the leadership skills of emerging family leaders who are parents or primary caregivers of Iowa children and youth with special health care needs (CYSHCN).  The institute is sponsored by the Division of Child and Community Health, part of the University of Iowa Stead Family Department of Pediatrics.  The Division also includes Child Health Specialty Clinics (CHSC), Iowa's Maternal and Child Health Title V Program for CYSHCN.
1015506	1500.0	Professional Development Award 126 P.I. Advocates International Inc.	DESCRIPTION: Pay a trainer to facilitate three train-the-trainer workshops per month (5 months) for a total of 15 workshops for two new outreach teams (2 people per team=4 people) in facilitating PIA's health literacy classes in underserved communities. Trainees will accompany the trainer on community workshops and practice facilitating the workshops after two months. Trainees will receive a certificate of completion after final class,
1015507	382.0	Professional Development Award 121 Shepherd Center	DESCRIPTION: I will present at the American Congress of Rehabilitation Medicine on a project I have been participating in for the past year about electronic portals. Electronic portals enable people to engage in personal healthcare choices and manage on-going care. The Patient Engagement Portal (PEP), developed by two large rehabilitation hospitals that could not find an off-the-shelf solution to meet their population needs, is an easy to use tool for patients with physical and/or cognitive disabilities. PEP contains six sections - User Profile, Allergies/Medications, Equipment/Supplies, Resources, Documents, and Caregivers - that are easily identified and accessible on the home page.  PEP is tethered to the hospital EMR for initial activation of records and populating of select demographic/injury information as well as upload of admission and discharge documents. Once a patient activates an account, the patient becomes responsible for updating information and fields are no longer populated from the EMR. The goal of this dual design is to promote initial use by populating the portal with information deemed important by patients and clinical staff and then to facilitate self-reliance in portal use for managing injury conditions and coordinating with local care teams after returning to home environments.  45% of eligible patients have activated accounts and logged into the portal at least once. The average number of logins per patient is 2.4. The section of the portal that patients report is most helpful and accessed most frequently (33%) is Resources (a hospital provided list of on-line and community resources). The Documents section is the next most frequently accessed (19%). Clinicians can download patient-specific information (documents, videos, URLs) into this section to encourage portal use.
1015508	1353.0	"Exhibitor Award 122: 2017 Tennessee Public Health Association Annual Conference ""Health Across the Spectrum"" September 13-17, 2017"	"DESCRIPTION: Exhibit at 2017 Tennessee Public Health Association Annual Conference ""Health Across the Spectrum"" September 13-17, 2017"
1015510	2000.0	Exhibitor Award 124: Area Agency on Aging, Senior Lifestyles Expo. October 4, 2017. Location: Greater Gulf State Fairgrounds, 1035 N. Cody Rd., Mobile, Al 36608	DESCRIPTION: Exhibit at: Area Agency on Aging, Senior Lifestyles Expo. October 4, 2017. Location: Greater Gulf State Fairgrounds, 1035 N. Cody Rd., Mobile, Al 36608
1015511	2000.0	Exhibitor Award 127: North Carolina Veterinary Conference, November 3-5, 2017, Raleigh Convention Center, Raleigh, NC (http://ncveterinaryconference.com/)	DESCRIPTION: Exhibit at: North Carolina Veterinary Conference, November 3-5, 2017, Raleigh Convention Center, Raleigh, NC (http://ncveterinaryconference.com/)
1015512	1100.0	Exhibitor Award 128: Remote Area Medical (RAM) Volunteer Corps November 3-5, 2017 at the Gray Fairgrounds in Gray, TN	DESCRIPTION: Exhibit at Remote Area Medical (RAM) Volunteer Corps November 3-5, 2017 at the Gray Fairgrounds in Gray, TN
1015514	12311.0	Outreach Award: Senior health outreach	DESCRIPTION: The Outreach Services Department of the St. Charles Public Library will partner with Galter Health Sciences Library, Northwestern University to develop and deliver presentations on healthcare and medical topics at senior facilities in the St. Charles, Illinois community. As members of the Library's Outreach Services Department, we visit nine senior facilities, three homecare facilities, and fifteen homebound patrons a month. Outreach Services also provides weekly, biweekly, and monthly programs at seven senior facilities, engaging over two hundred and fifty patrons per month. We have noted a new demand for us to arrange and provide healthcare programming and training sessions at three of our senior independent living facilities. Outreach Services will collaborate with Galter Health Sciences Library, Northwestern University  to offer programming to teach seniors how to find high-quality health information on the web.
1015526	1935.0	Prof Dev: Midwest MLA/MHSLA Instructors 2017	"DESCRIPTION: We are requesting the Professional Development Award funding to allow us to offer two continuing education courses ""Perspectives in Research Data Management"" and ""Data Management for Librarians"" at the Joint 2017 Midwest Medical Library Association and Michigan Health Sciences Libraries Association Conference being held in October 2017."
1015546	20000.0	Outreach: Latino health and well-being workshop series	DESCRIPTION: In the interest of providing greater access to culturally competent and linguistically relevant health services to Minnesota's Latino communities, CLUES requests funding from the NNLM to support developing, planning, and piloting a new Health and Wellbeing workshop series. The workshops will take place in areas of Minnesota where large communities of Latinos live and work, including southern Minnesota (in areas such as Mankato, Willmar, and Austin).
1015566	9579.0	Emerging Trends: Medical Data and Me Community Awareness Project	DESCRIPTION: The project aims to increase the community's awareness of precision medicine. Over a three-year period, a series of informational programs will be implemented to introduce the fundamentals of precision medicine. The informational programs will discuss the connections between biology, health and lifestyle, the environment as well as, the collection and use of patients' health information on mobile devices. This proposal describes the initial program which will introduce precision medicine, with a focus on the use of mobile devices to capture and share patients' health data.
1015586	0.0	Outreach Library 2017-2018: Medical College of Wisconsin	DESCRIPTION: Serve as a partner outreach library, offering training and promotion of NLM resources on behalf of the GMR.
1015606	207803.0	Outreach: Promoting Health Communities Partnership	DESCRIPTION: The eight Regional Medical Libraries (RMLs) of the National Network of Libraries of Medicine (NNLM) will partner with the Public Library Association (PLA), a division of the American Library Association (ALA), to increase the knowledge and skills of public library staff related to consumer health services. The partnership will increase awareness of and participation in RML health information programming by public libraries nationwide, improving library programs and strengthening partnerships between libraries and health organizations, with the ultimate goal of improving health outcomes in communities. The initiative will consist of 1) an assessment of health information needs among public librarians; 2) a communication and marketing plan to reach PLA/ALA members, as well as broader library and community audiences with a stake in advancing health and wellness; 3) efforts to promote existing and expand new professional development/continuing education (PD/CE) opportunities for public library staff, including programming at public library events, such as ALA and PLA conferences. This initiative will occur from August 2017 to April 2018, and will lay a foundation for building an ongoing partnership between NNLM and PLA to sustain engagement among public librarians, their RMLs, and other health information and service organizations.
1015646	0.0	Prof Dev: HSLI Instructors 2017	DESCRIPTION: HSLI is requesting funding to provide an MLA-accredited CE workshop for the Health Sciences Librarians of Illinois Conference, on Oct 26, 201. Emerging Technologies for the Busy Librarian, (4 MLA CE), presented by Gabriel R. Rios, Director, Ruth Lilly Medical Library, Indiana University, Indianapolis. This class is designed to give the busy librarian an overview of emerged and emerging technologies impacting (or potentially impacting) our profession. It is a survey course that will cover a variety of technology topics.
1015666	2000.0	"Mount Saint Mary's University ""Mount Wellness"" Training Project (December 2017-April 2018)"	"DESCRIPTION: Mount Saint Mary's University (MSMU) launched a comprehensive wellness movement, ""Mount Wellness,"" in 2017 to help its community become, and remain, healthier. The MSMU library system will create a program affiliated with Mount Wellness that introduces MSMU students and staff to National Library of Medicine (NLM) resources, with a focus on MedlinePlus. The primary objective is to provide and promote a dedicated area to engage library users in ""active learning""; this area will be designed to engage users in in-depth workshops that further their learning about NLM resources and various wellness topics. REMARKS: Goals and Objectives:  1. Provide dedicated library space within the J. Thomas McCarthy Library at MSMU with active learning equipment in an easily accessible and prominent location. The space will feature movable exercise equipment such as under-desk bike pedals, yoga mats, and standing desks. Promotional materials for NLM resources and pamphlets will be readily on hand in this area. To introduce the MSMU community to the new equipment, the library will host workshops to demonstrate use of the installed machines, how to use MedlinePlus, and highlight the availability of complementary NLM resources. 2. Train 16 peer wellness coaches on MedlinePlus. These peer wellness coaches, most of whom are health sciences majors, will work directly with other MSMU students to help them make informed decisions about their health, set goals, and track progress. 3. Promote MedlinePlus as an alternative to WebMD on the campus portal page, library social media, and library research guides. The availability of NLM resources will be advertised at 2018 Mount Wellness initiative events aimed at student, faculty, and staff."
1015726	2000.0	Prof Dev: HSLI Conference 2017	DESCRIPTION: HSLI is requesting funding to provide an MLA-accredited CE workshop for the Health Sciences Librarians of Illinois Conference, on Oct 26, 201. Emerging Technologies for the Busy Librarian, (4 MLA CE), presented by Gabriel R. Rios, Director, Ruth Lilly Medical Library, Indiana University, Indianapolis. This class is designed to give the busy librarian an overview of emerged and emerging technologies impacting (or potentially impacting) our profession. It is a survey course that will cover a variety of technology topics. Topics discussed will be updated until the month prior to the course but could include: makerspaces, augmented reality, wearable technology, the Internet of Things, quantified self, personal cloud services, privacy, ambient intelligence, virtual reality, and collaboration tools. Students, health professionals and consumers use technologies to interact with health information on a daily basis. It is essential for librarians to investigate and experiment with these technologies to improve access to timely and relevant quality health information. Educational Objective: At the end of this activity, participants should be able to:  -  Identify and discuss emerged and emerging technologies with potential to impact our profession  -  Review technology trends with an emphasis how to keep up to date  -  Identify technologies that can be employed in a hospital library or other potentially restrictive networks  -  Review privacy issues within a digital ecosystem  -  Apply case studies and recommendations for supporting emerged and emerging technologies at home institution
1015746	9000.0	Targeted Dissemination of NEC-Zero Resources to Reach Underserved Caregivers of Premature Infants at Risk for Necrotizing Enterocolitis (December 2017-April 2018)	"DESCRIPTION: The goal of NEC-Zero is to eliminate necrotizing enterocolitis (NEC) to ""zero cases"" by increasing access to evidence-based information to promote risk awareness and prevention. NEC, a devastating intestinal complication that involves death of tissue that can spread to the entire body, affects mostly pre-term infants. Gaps in implementation of prevention evidence and parent engagement strategies may explain variation in NEC occurrence across Neonatal Intensive Care Units (NICUs).   Working with an interdisciplinary team of academic experts and parent support group agencies, NEC-Zero's primary objective is to disseminate health information related to NEC broadly. Work to accomplish this goal will include: 1) refining the NEC-Zero toolkit by expanding multimedia content, translating materials into Spanish, and ensuring that Section 508 accessibility standards are met; 2) expanding awareness about availabiilty of NEC-Zero tools for librarians, clinicians, and consumers; and 3) improving access to NEC-Zero tools through targeted dissemination and marketing strategies to reach all libraries and NICUs in the Network of National Libraries of Medicine Pacific Southwest region (NNLM PSR).   Specifically, the workplan will: 1) expand multimedia content by partnering with University of Arizona theater students to create short video novellas about NEC in both English and Spanish; 2) refine the Spanish translation of parent-focused materials already developed for NEC-Zero and add a brochure targeting women who may deliver a pre-term infant; and 3) offer two webinars about NEC and NEC-Zero materials with continuing education credit made available to librarians (health science and public) and preemie parent organizations/clinicians (physicians, nurses, social workers, dietitians). REMARKS: A summary of the goals and objectives for the project:   1. Refine the NEC-Zero toolkit through enhanced Spanish translation, addition of multimedia content and refinement of clinical and parent-focused tools and ensure that it meets accessibility standards that are described in the Section 508 Rehabilitation Act   2. Expand awareness about availability of NEC-Zero tools to promote NEC prevention 3. Improve access to NEC-Zero tools online (e.g., MedlinePlus availability; expand web presence) to facilitate quick access by librarians, clinicians, and consumers"
1015766	14740.0	Levy Library Press and International Journal of Health Advocacy and Education	DESCRIPTION: The Levy Library at the Icahn School of Medicine is seeking funding to support the establishment of a Levy Library Press that will host a new open access international journal that will publish inter-professional research, case studies, and other scholarly articles focused on health advocacy and education and will serve as a knowledge hub in these areas. The journal will not charge authors or users and all content will be freely available online.  Group authorship across at least two health professions will be required for submission to the journal, and particular attention will be devoted to submissions by students and trainees. Inter-professional education (IPE) is a cornerstone of outstanding clinical care and a critical element in high quality health professions education. An open access, rigorous peer-reviewed journal specifically geared towards IPE, and open to publishing evidence-based research as well as best practices and evolving curricula, will be an important resource for disseminating IPE more broadly as it continues to rapidly evolve. It will be especially important in resource poor communities and countries. The journal and press will be led and managed by the Mount Sinai Health System librarians. This will enable them to work together and partner with various departments within Mount Sinai Health System and promote their involvement in the overall institutional health education, scientific and research efforts.  The journal will also serve as a health literacy vehicle offering free, vetted and reliable knowledge to communities around the world led by professional faculty members and medical librarians.
1015767	5000.0	A Better You	DESCRIPTION: Shaping Elizabeth, a city-wide coalition tasked with improving community health, has mobilized many organizations in Elizabeth to work together in building a culture of health in New Jersey's 4th largest city. As the Free Public Library of the City of Elizabeth, we consider it our duty to be involved in this endeavor: to share health literacy resources and help make Elizabeth a healthier place. As of November, we have become actively involved with the Shaping Elizabeth coalition as founding members of a subcommittee called the Library Coalition. With the Outreach to Consumers Award, we plan to leverage our network of partners and our vibrant community of library patrons and supporters to bring more health programs and resources to the City of Elizabeth.
1015768	14990.0	P.I.L.L.A.R. (Providing Information at Local Libraries to Assist Recovery)	DESCRIPTION: Cambria County ranks third in the State of Pennsylvania for drug-related deaths per 100,000 persons. While numerous county agencies are focused on controlling the drug-traffic and use within the county, there is limited focus on the families impacted by the death of a family member. To provide support for families who are struggling with understanding their situation, this project will use the network of 14 public libraries and four academic libraries in the county to create centers for information on drug and alcohol abuse and dealing with loss. All resources for the library centers will be identified through agencies such as the National Library of Medicine, National Institutes of Health, in addition to state agencies such as PA Stop. Training of library staff in how to disseminate the information will also take place.
1015769	5000.0	The Clinic Waiting Room: an opportunity for medicine safety education using MedlinePlus resources	DESCRIPTION: The provision of health education in clinic and physician office waiting rooms is not new; however, it is usually done by use of printed materials and/or passive video presentations. This project explores the feasibility of using live presentations to teach medication safety to parents and caregivers in the waiting area of an ambulatory care clinic at a busy urban teaching hospital.  The presentations will be given by a team of three university students using the library's portable Sharp Interactive Display System (purchased with an earlier NNLM grant).  The system's split screen feature will allow for simultaneous presentation of English and Spanish materials.
1015770	92278.0	Word Wise: Health Literacy Skills and Resources for the Healthcare Professional	DESCRIPTION: Crouse Health library, in partnership with Crouse Medical Practice (CMP),will engage in a skills and resource awareness campaign to promote the principles of health literacy in all patient interactions. The targeted audience will be the healthcare professionals of Crouse Medical Practice. The health literacy presentation will be included in all New Employee Orientations for Crouse Medical Practice which take place every 2 weeks.  In addition, we will attend a monthly support meeting (where they invite guest speakers) and a monthly clinical meeting.
